도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
꿈꾸는어린이도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,271,"""49,197""",50,697,5,14,서울특별시 강서구 공항대로 615,그리스도대학교,02-3663-4025,"""1,100""",855,http://lib.gangseo.seoul.kr,37.5472895,126.8711249,2016-05-31
가양도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,411,"""14,729""",80,5,5,14,서울특별시 강서구 양천로 61길 101,그리스도대학교,02-3665-8797,"""3,014""","""1,535""",http://lib.gangseo.seoul.kr/small/index.jsp,37.5615572,126.8520553,2016-05-31
성동구립도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",7:00,22:00,702,182557,217,10262,5,14,서울특별시 성동구 고산자로 10길9,재단법인 성동문화재단,02-2204-6420,1894,5692,https://www.sdlib.or.kr/SD/,37.559097,127.032776,2016-05-31
성동구립금호도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",7:00,22:00,204,79455,71,4134,5,14,서울특별시 성동구 난계로 20,재단법인 성동문화재단,02-2204-6450,863,1517,https://www.sdlib.or.kr/KH/,37.554097,127.022693,2016-05-31
성동구립용답도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",7:00,22:00,250,75750,69,3906,5,14,서울특별시 성동구 용답 중앙3길 10,재단법인 성동문화재단,02-2204-6470,629,1482,https://www.sdlib.or.kr/YD/,37.566679,127.051314,2016-05-31
성동구립무지개도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",9:00,21:00,130,41382,31,2755,5,14,서울특별시 성동구 고산자로 270,재단법인 성동문화재단,02-2286-6025,469,469,http://www.sdlib.or.kr/rainbow,37.563155,127.036627,2016-05-31
성동구립성수도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",8:00,22:00,214,38839,48,2060,5,14,서울특별시 성동구 뚝섬로 1길 43,재단법인 성동문화재단,02-2204-7592,1014,9726,https://www.sdlib.or.kr/SS/,37.545306,127.044847,2016-05-31
성동구립청계도서관,서울특별시,성동구,공공도서관,"""매주 월요일, 법정공휴일""",9:00,20:00,285,34631,64,475,5,14,서울특별시 성동구 마장로 141,재단법인 성동문화재단,02-2204-7580,1920,1189.55,https://www.sdlib.or.kr/cg/,37.566308,127.036955,2016-05-31
왕십리도선동희망문고,서울특별시,성동구,공공도서관,법정공휴일,9:00,18:00,35,6044,1,0,3,14,서울특별시 성동구 마장로 141 (상왕십리동),서울특별시 성동구청,02-2286-7214,99.35,99.35,http://wangsimnidoseon.sd.go.kr/,37.567777,127.025479,2016-05-31
왕십리제2동작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,7,3121,1,0,3,14,서울특별시 성동구 무학봉길 69 (하왕십리동),서울특별시 성동구청,02-2286-7223,50.58,50.58,https://www.sdlib.or.kr/lib01/,37.561057,127.030495,2016-05-31
마장동작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",14:00,18:00,20,4854,1,0,3,14,서울특별시 성동구 마장로 42길11 (마장동),서울특별시 성동구청,02-2286-7256,46,46,https://www.sdlib.or.kr/lib02/,37.566293,127.045354,2016-05-31
사근동어린이놀이터도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,20,4912,1,0,3,14,서울특별시 성동구 사근동길 45-8 (사근동),서울특별시 성동구청,02-2286-7271,51.8,51.8,https://www.sdlib.or.kr/lib03/,37.561169,127.045855,2016-05-31
행당제2동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,40,9866,1,0,3,14,서울특별시 성동구 행당로 9길 9 (행당동),서울특별시 성동구청,02-2286-7567,100,100,https://www.sdlib.or.kr/lib04/,37.558196,127.029361,2016-05-31
응봉동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",10:00,17:00,18,5853,1,0,3,14,서울특별시 성동구 독서당로 424 (응봉동),서울특별시 성동구청,02-2286-7335,84,84,https://www.sdlib.or.kr/lib05/,37.553118,127.033401,2016-05-31
금호1가동우리동네북카페책단지꿀단지,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,28,4144,0,0,3,14,서울특별시 성동구 행당로 15 (금호동1가),서울특별시 성동구청,02-2286-7343,71,71,https://www.sdlib.or.kr/lib06/,37.554834,127.021637,2016-05-31
"""금호2,3가동어린이작은도서관""",서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,16:00,15,8465,0,0,3,14,서울특별시 성동구 무수막 18길1 (금호동2가),서울특별시 성동구청,02-2286-7374,77,77,https://www.sdlib.or.kr/lib07/,37.553233,127.021016,2016-05-31
금호4가동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,20,6925,1,0,3,14,서울특별시 성동구 독서당로 46길 26 (금호동4가),서울특별시 성동구청,02-2286-7383,134,134,https://www.sdlib.or.kr/lib08/,37.547171,127.022311,2016-05-31
옥수동북카페,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,5,3569,0,0,3,14,서울특별시 성동구 독서당로 205-1 (옥수동),서울특별시 성동구청,02-2286-7418,24,24,https://www.sdlib.or.kr/lib09/,37.543671,127.013486,2016-05-31
성수1가제1동작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,20,7421,1,0,3,14,서울특별시 성동구 뚝섬로 3길 18 (성수동1가),서울특별시 성동구청,02-2286-7422,60,60,https://www.sdlib.or.kr/lib10/,37.542037,127.049686,2016-05-31
성수1가제2동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",13:00,17:00,16,3464,0,0,3,14,서울특별시 성동구 왕십리로 5길 3  (성수동1가),서울특별시 성동구청,02-2286-7443,35,35,https://www.sdlib.or.kr/lib11/,37.546305,127.044262,2016-05-31
성수2가제1동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,30,7469,1,0,3,14,서울특별시 성동구 뚝섬로 385-19 (성수동2가),서울특별시 성동구청,02-2286-7478,59,59,https://www.sdlib.or.kr/lib12/,37.539501,127.054051,2016-05-31
성수2가제3동작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",14:00,17:00,14,10496,1,0,3,14,서울특별시 성동구 광나루로 2길 35 (성수동2가),서울특별시 성동구청,02-2286-7484,99,99,https://www.sdlib.or.kr/lib13/,37.548192,127.055189,2016-05-31
송정동늘푸른작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,6,4577,0,0,3,14,서울특별시 성동구 송정 14길 19 (송정동),서울특별시 성동구청,02-2286-7509,29,29,https://www.sdlib.or.kr/lib14/,37.550985,127.068522,2016-05-31
용답동어린이작은도서관,서울특별시,성동구,공공도서관,"""주말, 법정공휴일""",9:00,18:00,20,5672,1,0,3,14,서울특별시 성동구 용답중앙 23길 20 (용답동),서울특별시 성동구청,02-2286-7523,103,103,https://www.sdlib.or.kr/lib15/,37.564066,127.055517,2016-05-31
성동자활센터북카페다온,서울특별시,성동구,공공도서관,법정공휴일,9:30,20:30,41,2198,1,0,3,14,서울특별시 성동구 매봉길 21 (옥수동),서울특별시 성동구청,070-4920-8858,89.22,89.22,http://sdjh.or.kr/,37.545259,127.015712,2016-05-31
의령도서관,경상남도,의령군,공공도서관,매주월요일,9:00,18:00,267,"""90,055""",18,4337,"""90,055""",14,경상남도 의령군 의령읍 의병로 25길 9-8,의령도서관,055-572-0941,"""3,418""","""1,678""",http://www.urlib.or.kr,35.31979955,128.266729,2015-08-31
경산도서관,경상북도,경산시,공공도서관,"""첫째,셋째 월요일 및 공휴일""",8:00,22:00,156,69625,23,0,5,10,경상북도 경산시 장산로 23길 23,경상북도 경산시청,053-811-2240,1339,857,http://lib.gbgs.go.kr,35.8183434,128.7355069,2016-10-31
